,video_id,video_url,trending_position,trending_date,trending_datetime
0,4ZX9T0kWb4Y,https://youtu.be/4ZX9T0kWb4Y,1,2023-04-04,2023-04-04 21:52:11
1,vS3_72Gb-bI,https://youtu.be/vS3_72Gb-bI,2,2023-04-04,2023-04-04 21:52:11
2,Tp_YZNqNBhw,https://youtu.be/Tp_YZNqNBhw,3,2023-04-04,2023-04-04 21:52:11
3,bCoV7VaobfA,https://youtu.be/bCoV7VaobfA,4,2023-04-04,2023-04-04 21:52:11
4,-buJzSym2f8,https://youtu.be/-buJzSym2f8,5,2023-04-04,2023-04-04 21:52:11
5,9XVBTaZ9F6Y,https://youtu.be/9XVBTaZ9F6Y,6,2023-04-04,2023-04-04 21:52:11
6,3zUPDkt8aEI,https://youtu.be/3zUPDkt8aEI,7,2023-04-04,2023-04-04 21:52:11
7,xS5e2o6REb4,https://youtu.be/xS5e2o6REb4,8,2023-04-04,2023-04-04 21:52:11
8,mO0OuR26IZM,https://youtu.be/mO0OuR26IZM,9,2023-04-04,2023-04-04 21:52:11
9,N4lnt6Oudq0,https://youtu.be/N4lnt6Oudq0,10,2023-04-04,2023-04-04 21:52:11
10,Xq1lzZAEEPw,https://youtu.be/Xq1lzZAEEPw,11,2023-04-04,2023-04-04 21:52:11
11,yPnGZBpvjN0,https://youtu.be/yPnGZBpvjN0,12,2023-04-04,2023-04-04 21:52:11
12,GOIvv9Qbbp4,https://youtu.be/GOIvv9Qbbp4,13,2023-04-04,2023-04-04 21:52:11
13,lUSpuGgZTTA,https://youtu.be/lUSpuGgZTTA,14,2023-04-04,2023-04-04 21:52:11
14,IYMh0ddLrQM,https://youtu.be/IYMh0ddLrQM,15,2023-04-04,2023-04-04 21:52:11
15,1WEAJ-DFkHE,https://youtu.be/1WEAJ-DFkHE,16,2023-04-04,2023-04-04 21:52:11
16,XIOoqJyx8E4,https://youtu.be/XIOoqJyx8E4,17,2023-04-04,2023-04-04 21:52:11
17,l4w6808wJcU,https://youtu.be/l4w6808wJcU,18,2023-04-04,2023-04-04 21:52:11
18,7Z-owxKt3w0,https://youtu.be/7Z-owxKt3w0,19,2023-04-04,2023-04-04 21:52:11
19,Yvqz-BYBnp4,https://youtu.be/Yvqz-BYBnp4,20,2023-04-04,2023-04-04 21:52:11
20,Uy8vawDSg3g,https://youtu.be/Uy8vawDSg3g,21,2023-04-04,2023-04-04 21:52:11
21,hmzNIiJ0jnU,https://youtu.be/hmzNIiJ0jnU,22,2023-04-04,2023-04-04 21:52:11
22,cHXB-5woeHw,https://youtu.be/cHXB-5woeHw,23,2023-04-04,2023-04-04 21:52:11
23,FExS3lFEwqc,https://youtu.be/FExS3lFEwqc,24,2023-04-04,2023-04-04 21:52:11
24,7QNKS2wUGkQ,https://youtu.be/7QNKS2wUGkQ,25,2023-04-04,2023-04-04 21:52:11
25,vkul44BkVMU,https://youtu.be/vkul44BkVMU,26,2023-04-04,2023-04-04 21:52:11
26,5cJK9VJ24hQ,https://youtu.be/5cJK9VJ24hQ,27,2023-04-04,2023-04-04 21:52:11
27,G6FARknIG6w,https://youtu.be/G6FARknIG6w,28,2023-04-04,2023-04-04 21:52:11
28,Csi35H8_oDo,https://youtu.be/Csi35H8_oDo,29,2023-04-04,2023-04-04 21:52:11
29,Fpn1imb9qZg,https://youtu.be/Fpn1imb9qZg,30,2023-04-04,2023-04-04 21:52:11
30,bMRVJ64lzw0,https://youtu.be/bMRVJ64lzw0,31,2023-04-04,2023-04-04 21:52:11
31,n0LPccQzr04,https://youtu.be/n0LPccQzr04,32,2023-04-04,2023-04-04 21:52:11
32,T3xRxzCS6vw,https://youtu.be/T3xRxzCS6vw,33,2023-04-04,2023-04-04 21:52:11
33,Vck5O1IXSWw,https://youtu.be/Vck5O1IXSWw,34,2023-04-04,2023-04-04 21:52:11
34,_BZIxt07UNU,https://youtu.be/_BZIxt07UNU,35,2023-04-04,2023-04-04 21:52:11
35,zrmLaMBJsdg,https://youtu.be/zrmLaMBJsdg,36,2023-04-04,2023-04-04 21:52:11
